"subject_id","run","onset","requested_onset","delta_onset","shape_name","pressed","shouldhavepressed","correct","rt","outlier_location","rots","dils","outlier_type","onset_press"
"204","2",256003,256000,4,"random","left_key","left_key",TRUE,2130,3,"[5, 2, 4, 0, 1, 3]","[1, 4, 3, 2, 0, 5]","2",258133
"204","2",260003,260000,4,"random","right_key","left_key",FALSE,1839,2,"[4, 3, 5, 1, 2, 0]","[3, 5, 2, 1, 0, 4]","3",261842
"204","2",268002,268000,3,"losange","left_key","left_key",TRUE,1581,4,"[2, 0, 5, 4, 3, 1]","[2, 3, 5, 0, 4, 1]","1",269583
"204","2",272002,272000,3,"losange","left_key","left_key",TRUE,1750,3,"[3, 0, 1, 5, 4, 2]","[5, 2, 0, 3, 4, 1]","2",273752
"204","2",276002,276000,3,"losange","right_key","right_key",TRUE,815,1,"[2, 0, 1, 3, 5, 4]","[5, 3, 4, 2, 0, 1]","4",276817
"204","2",280002,280000,3,"losange","right_key","right_key",TRUE,618,0,"[0, 5, 3, 1, 4, 2]","[5, 3, 4, 1, 2, 0]","3",280620
"204","2",284002,284000,3,"losange","right_key","right_key",TRUE,641,5,"[1, 5, 2, 3, 4, 0]","[5, 4, 3, 2, 1, 0]","4",284643
"204","2",292001,292000,2,"square","right_key","right_key",TRUE,572,1,"[4, 1, 5, 0, 2, 3]","[2, 3, 0, 1, 4, 5]","1",292573
"204","2",296001,296000,2,"square","right_key","right_key",TRUE,687,5,"[0, 2, 1, 5, 4, 3]","[3, 4, 2, 0, 5, 1]","2",296688
"204","2",300001,300000,2,"square","left_key","left_key",TRUE,766,2,"[2, 1, 3, 0, 4, 5]","[0, 2, 5, 4, 3, 1]","3",300767
"204","2",304001,304000,2,"square","left_key","left_key",TRUE,1027,4,"[4, 3, 2, 0, 1, 5]","[5, 1, 3, 0, 4, 2]","4",305028
"204","2",308001,308000,1,"square","left_key","left_key",TRUE,854,3,"[4, 5, 1, 0, 2, 3]","[5, 4, 2, 3, 0, 1]","2",308855
"204","3",2002,2000,3,"losange","left_key","right_key",FALSE,795,5,"[1, 5, 3, 2, 4, 0]","[1, 4, 3, 0, 5, 2]","2",2797
"204","3",6001,6000,2,"losange","left_key","left_key",TRUE,1097,4,"[4, 1, 3, 5, 0, 2]","[1, 5, 4, 2, 0, 3]","3",7098
"204","3",10001,10000,2,"losange","right_key","left_key",FALSE,1055,2,"[5, 3, 0, 1, 4, 2]","[3, 1, 4, 2, 0, 5]","1",11056
"204","3",14001,14000,2,"losange","left_key","left_key",TRUE,737,3,"[0, 5, 4, 1, 3, 2]","[1, 3, 4, 2, 5, 0]","4",14738
"204","3",18001,18000,2,"losange","right_key","right_key",TRUE,653,1,"[4, 3, 5, 1, 0, 2]","[1, 0, 2, 3, 5, 4]","3",18654
"204","3",28000,28000,1,"isoTrapezoid","right_key","right_key",TRUE,822,5,"[0, 2, 5, 1, 3, 4]","[4, 5, 2, 3, 1, 0]","1",28822
"204","3",32000,32000,1,"isoTrapezoid","left_key","right_key",FALSE,1009,1,"[4, 0, 3, 1, 5, 2]","[3, 2, 5, 0, 1, 4]","2",33009
"204","3",36009,36000,10,"isoTrapezoid","right_key","left_key",FALSE,1374,3,"[5, 4, 0, 2, 1, 3]","[1, 4, 3, 2, 0, 5]","4",37383
"204","3",40000,40000,1,"isoTrapezoid","right_key","left_key",FALSE,1352,2,"[0, 5, 2, 1, 3, 4]","[3, 0, 2, 4, 5, 1]","3",41352
"204","3",44008,44000,9,"isoTrapezoid","right_key","right_key",TRUE,1287,0,"[0, 2, 3, 5, 1, 4]","[3, 5, 2, 0, 1, 4]","1",45295
"204","3",51999,52000,0,"color_2","right_key","left_key",FALSE,1211,2,"C06.png","C08.png","[2, 3, 4, 1, 5, 0]",53210
"204","3",56008,56000,9,"color_2","left_key","right_key",FALSE,1575,5,"C06.png","C08.png","[1, 0, 4, 2, 5, 3]",57583
"204","3",60007,60000,8,"color_2","left_key","left_key",TRUE,1166,3,"C03.png","C05.png","[5, 4, 2, 0, 1, 3]",61173
"204","3",64007,64000,8,"color_2","right_key","left_key",FALSE,1316,4,"C18.png","C20.png","[4, 0, 2, 5, 1, 3]",65323
"204","3",68007,68000,8,"color_2","left_key","right_key",FALSE,1383,0,"C17.png","C19.png","[3, 0, 4, 1, 2, 5]",69390
"204","3",78007,78000,7,"kite","left_key","left_key",TRUE,1145,3,"[1, 5, 4, 3, 2, 0]","[0, 3, 5, 1, 2, 4]","3",79152
"204","3",82006,82000,7,"kite","right_key","right_key",TRUE,1114,0,"[5, 2, 4, 0, 3, 1]","[4, 0, 5, 1, 2, 3]","1",83120
"204","3",86006,86000,7,"kite","right_key","right_key",TRUE,1292,1,"[1, 0, 4, 5, 3, 2]","[1, 2, 5, 0, 3, 4]","2",87298
"204","3",90006,90000,7,"kite","right_key","left_key",FALSE,1535,2,"[1, 3, 0, 5, 4, 2]","[5, 3, 2, 4, 1, 0]","4",91541
"204","3",94006,94000,7,"kite","left_key","right_key",FALSE,1346,5,"[3, 0, 2, 1, 5, 4]","[4, 0, 3, 1, 5, 2]","2",95352
"204","3",106005,106000,6,"parallelogram","left_key","left_key",TRUE,1505,2,"[5, 1, 3, 4, 0, 2]","[4, 5, 1, 0, 2, 3]","2",107510
"204","3",110005,110000,6,"parallelogram","right_key","left_key",FALSE,1288,3,"[2, 3, 4, 1, 0, 5]","[0, 3, 5, 4, 2, 1]","4",111293
"204","3",114005,114000,6,"parallelogram","right_key","left_key",FALSE,993,4,"[2, 0, 5, 4, 1, 3]","[5, 0, 3, 2, 1, 4]","3",114998
"204","3",118005,118000,6,"parallelogram","right_key","right_key",TRUE,1395,5,"[3, 1, 4, 2, 0, 5]","[3, 1, 5, 0, 2, 4]","1",119400
"204","3",122005,122000,5,"parallelogram","right_key","right_key",TRUE,1684,0,"[2, 1, 0, 5, 3, 4]","[1, 3, 4, 0, 2, 5]","3",123689
"204","3",130004,130000,5,"hinge","right_key","right_key",TRUE,1253,1,"[0, 2, 5, 4, 1, 3]","[5, 2, 0, 3, 4, 1]","1",131257
"204","3",134004,134000,5,"hinge","right_key","left_key",FALSE,1316,4,"[1, 4, 0, 5, 3, 2]","[0, 4, 1, 2, 3, 5]","4",135320
"204","3",138004,138000,5,"hinge","left_key","right_key",FALSE,1673,5,"[3, 2, 5, 4, 0, 1]","[1, 2, 0, 4, 3, 5]","2",139677
"204","3",142004,142000,5,"hinge","left_key","left_key",TRUE,1160,2,"[2, 4, 0, 1, 3, 5]","[3, 1, 5, 2, 4, 0]","3",143164
"204","3",146004,146000,5,"hinge","left_key","right_key",FALSE,1830,0,"[0, 5, 2, 1, 4, 3]","[2, 0, 1, 5, 4, 3]","1",147834
"204","3",154003,154000,4,"rectangle","right_key","right_key",TRUE,754,1,"[2, 4, 1, 0, 3, 5]","[2, 4, 3, 1, 5, 0]","2",154757
"204","3",158003,158000,4,"rectangle","right_key","right_key",TRUE,1037,0,"[1, 5, 3, 2, 4, 0]","[4, 1, 2, 3, 5, 0]","4",159040
"204","3",162003,162000,4,"rectangle","right_key","right_key",TRUE,1085,5,"[4, 3, 0, 1, 2, 5]","[5, 0, 3, 4, 2, 1]","1",163088
"204","3",166003,166000,4,"rectangle","left_key","left_key",TRUE,762,2,"[5, 2, 0, 3, 4, 1]","[2, 4, 3, 0, 5, 1]","3",166765
"204","3",170002,170000,3,"rectangle","left_key","left_key",TRUE,1025,3,"[3, 4, 0, 5, 2, 1]","[3, 1, 5, 0, 4, 2]","4",171027
"204","3",182002,182000,3,"square","left_key","left_key",TRUE,941,3,"[3, 0, 4, 2, 1, 5]","[4, 0, 2, 3, 5, 1]","4",182943
"204","3",186002,186000,3,"square","left_key","left_key",TRUE,819,4,"[1, 2, 0, 5, 3, 4]","[5, 2, 0, 3, 1, 4]","3",186821
"204","3",190001,190000,2,"square","left_key","left_key",TRUE,749,2,"[0, 5, 3, 4, 1, 2]","[2, 1, 3, 5, 4, 0]","2",190750
"204","3",194001,194000,2,"square","right_key","right_key",TRUE,602,0,"[2, 5, 1, 0, 3, 4]","[2, 5, 4, 1, 0, 3]","1",194603
"204","3",198001,198000,2,"square","right_key","right_key",TRUE,641,5,"[1, 0, 3, 2, 4, 5]","[0, 4, 3, 2, 1, 5]","3",198642
